电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,评分,评分人数,domestic_boxoffice,international_boxoffice,worldwide_boxoffice
萤火虫之墓 火垂るの墓,高畑勋,高畑勋/野坂昭如,辰己努/白石绫乃/志乃原良子/山口朱美/端田宏三,剧情/动画/战争,日本,日语,1988-04-16(日本),89分钟,再见萤火虫(港)/萤火挽歌/火帘之墓/Hotarunohaka/TombstoneforFireflies/GraveoftheFireflies/TomboftheFireflies,tt0095327,8.7,365678,"$516,962",None,"$516,962"
战争之王 Lord of War,安德鲁·尼科尔,安德鲁·尼科尔,尼古拉斯·凯奇/布丽姬·穆娜/杰瑞德·莱托/伊安·霍姆/伊桑·霍克/埃夫吉恩尼·拉扎雷夫/伊默恩·沃克/塔尼特·菲尼克斯,剧情/犯罪,法国/德国/美国,英语/乌克兰语/德语/西班牙语/俄语/法语/阿拉伯语/土耳其语,2005-09-16(美国),122分钟,军火之王(台/港)/军火商,tt0399295,8.7,309432,"$24,149,632","$48,467,436","$72,617,068"
驴得水,周申/刘露,周申/刘露,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/麦亚瑟/王峰,剧情/喜剧,中国大陆,汉语普通话,2016-10-28(中国大陆),111分钟,Mr.Donkey,tt6167014,8.3,800819,"$356,255","$25,181,504","$25,537,759"
唐伯虎点秋香 唐伯虎點秋香,李力持,李力持/谷德昭/陈文强,周星驰/巩俐/陈百祥/郑佩佩/朱咪咪/梁家仁/苑琼丹/梁荣忠/黄一山/黄霑/吴镇宇/刘家辉/蓝洁瑛/谷德昭/陈辉虹/李健仁/宣萱/温翠苹,喜剧/爱情/古装,中国香港,粤语,1993-07-01(中国香港),102分钟,FlirtingScholar,tt0108289,8.7,913754,None,None,None
第六感 The Sixth Sense,M·奈特·沙马兰,M·奈特·沙马兰,布鲁斯·威利斯/海利·乔·奥斯蒙/托妮·科莱特/奥莉维亚·威廉姆斯/唐尼·沃尔伯格/特拉沃·摩根/彼得·安东尼·唐伯蒂斯/格伦·菲茨杰拉德/米莎·巴顿/LisaSummerour/法尔德斯·巴姆/杰弗里·泽布尼斯,剧情/悬疑/惊悚,美国,英语/拉丁语/西班牙语,1999-08-06(美国),107分钟,鬼眼(港)/灵异第六感(台),tt0167404,8.9,475914,"$293,506,292","$379,300,140","$672,806,432"
幽灵公主 もののけ姫,宫崎骏,宫崎骏,松田洋治/石田百合子/田中裕子/小林薰/西村雅彦/上条恒彦/岛本须美/渡边哲/佐藤允/名古屋章/美轮明宏/森光子/森繁久弥,动画/奇幻/冒险,日本,日语,1997-07-12(日本),134分钟,魔法公主(港/台)/幽灵少女/物之怪姬/Mononoke-hime/PrincessMononoke,tt0119698,8.9,459659,"$4,845,631","$164,940,073","$169,785,704"
重庆森林 重慶森林,王家卫,王家卫,林青霞/金城武/梁朝伟/王菲/周嘉玲,剧情/爱情,中国香港,粤语/汉语普通话/英语/印地语/日语,1994-07-14(中国香港),102分钟/111分钟(台湾版DVD),ChungkingExpress,tt0109424,8.8,686557,"$600,200","$724,562","$1,324,762"
小森林 夏秋篇 リトル・フォレスト 夏・秋,森淳一,森淳一/五十岚大介,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,日本,日语,2014-08-30(日本),111分钟,小森食光/夏秋篇(台)/LittleForestSummer&Autumn,tt3474600,9.0,366642,None,None,None
爱在黎明破晓前 Before Sunrise,理查德·林克莱特,理查德·林克莱特/金·克里桑,伊桑·霍克/朱莉·德尔佩/安德莉亚·埃克特/汉诺·波西尔/卡尔·布拉克施魏格尔/特克斯·鲁比诺威茨/埃尔尼·曼戈尔德/多米尼克·卡斯特尔/海蒙·玛丽亚·巴汀格/哈拉尔德·魏格莱因/汉斯·魏因加特纳/彼得·艾利·休默/休伯特·法比安·库尔特勒/约翰·斯洛斯/克里斯蒂安·安科维奇/亚当·戈德堡/保罗·波伊特,剧情/爱情,美国/奥地利/瑞士,英语/德语/法语,1995-01-27(美国),101分钟,情留半天(港)/爱在黎明破晓时(台)/日出之前,tt0112471,8.8,552437,"$5,535,405","$451,981","$5,987,386"
菊次郎的夏天 菊次郎の夏,北野武,北野武,北野武/关口雄介/岸本加世子/吉行和子/细川典江/大家由祐子/磨赤儿/铃木忠幸/井手博士/今村鼠/兼子二郎/田中要次/小岛可奈子,剧情/喜剧,日本,日语,2020-09-25(中国大陆)/1999-05-20(戛纳电影节)/1999-06-05(日本),121分钟,菊次郎之夏/Kikujirônonatsu/Kikujiro,tt0199683,8.8,502632,"$200,920","$260,339","$461,259"
消失的爱人 Gone Girl,大卫·芬奇,吉莉恩·弗林,本·阿弗莱克/裴淳华/尼尔·帕特里克·哈里斯/凯莉·库恩/泰勒·派瑞/金·迪肯斯/米西·派勒/波伊德·霍布鲁克/艾米丽·拉塔科斯基/雪拉·渥德/派屈克·福吉特/斯科特·麦克纳里/凯西·威尔逊/李·诺里斯,剧情/悬疑/惊悚/犯罪,美国,英语,2014-09-26(纽约电影节)/2014-10-03(美国),149分钟,失踪的女孩/失踪女孩/失踪罪(港)/控制(台),tt2267998,8.7,787244,"$167,767,189","$201,563,174","$369,330,363"
